Date;BETA0;BETA1;BETA2;BETA3;TAU1;TAU2
31/01/2000;21.8007666793646;-15.5886856563344;-27.753840663524;3.97275025685939;24.5393514528714;2.88322524307248
31/03/2000;12.1553401155168;-5.96160914841207;-16.3786521868007;2.40243229683225;24.9308839799118;1.77021460846863
28/04/2000;4.30390919285216;1.87929123261561;-4.8073027040907;1.33499883905996;19.737825571914;1.66614489319763
30/06/2000;5.58041249241665;0.428687418959697;-4.24859002413161;2.29214676083229;8.14620026107539;2.19709998645122
31/07/2000;5.54950190744799;0.557135901863792;-4.7958564201419;2.14909817252359;10.0508688230105;2.73329451493691
31/08/2000;5.63547864457497;0.483670153483999;-4.73460653770352;2.21545571986593;10.3085655188479;3.08079322926387
29/09/2000;5.18639001668734;0.799289429226494;-9.32019185423031;1.08376885815695;37.7533433241498;3.78201822319616
29/12/2000;-6.46431401800752;12.2372109192684;1.57853966714923;-1.65903986752357;49.9317205252306;0.830998912306234
28/02/2001;5.80142273644896;-0.752083575795693;-7.05315274591497;2.12451904750588;21.9994712874256;7.98109871124874
31/05/2001;2.82226534425081;1.99480475537955;1.09210567074093;1.99269274920123;14.4519919545265;3.90689816516085
31/07/2001;4.72493875544265;0.156270360856641;-4.00889294863009;3.36530783758296;13.3124059003143;5.51091443001779
28/09/2001;3.96554252756755;0.155251047137042;-1.92687511988311;4.62131168259504;1.77717468740344;3.20814192916723
31/10/2001;5.23900034593886;-1.58714940459235;-2.51495735361228;2.90884952134753;5.13477460782481;3.07975936634817
30/11/2001;4.37239367747791;-0.838709087916227;-2.6154095277666;4.01902491042312;1.23277053247726;1.77356084817798
31/01/2002;4.7231771935222;-1.21138110575702;-2.18645898236938;3.72816718846416;0.864286565614003;1.22796335723324
28/02/2002;4.89743520505684;-1.35498164763927;-1.5839106941701;3.40049124219294;1.40004209762854;1.58173223119599
30/04/2002;5.01044710730545;-1.28770553939469;-2.4754803118397;4.03185621774614;1.01904722119567;1.53093554770191
28/06/2002;3.35780292313281;0.257682925209193;4.97704000018151;1.33749221465574;4.61385130512272;1.05088104941833
31/07/2002;6.33791975822221;-2.7833573158455;-1.62054039976728;1.98571893841093;5.43621700686258;2.44214811071564
30/08/2002;0.176793934842533;5.32448829170732;-0.427707551452132;-5.22367127606142;57.1232752822723;0.634384386340719
31/01/2003;6.61715099602878;-2.11624296487885;-1.59876404983783;-2.8289877085519;32.7558187865875;0.761544251032436
28/02/2003;5.99077501374326;-2.67823729514662;-2.66951964190918;2.69901412775988;3.55561660557705;8.97002308869986E-09
31/03/2003;3.90297178063366;-0.483616342093598;-2.54771951486107;3.76261814608256;1.95970871026307;4.4893190716079
30/04/2003;5.49749145544157;-2.40697331818774;-2.11116511926277;2.08575914136913;4.47952330068211;3.98435469343226
30/05/2003;5.81794462567658;-2.46374759234399;-2.6188552382659;2.79749701278176;3.543978977359;3.62335589976588E-10
30/06/2003;5.86520522673729;-2.53743678590282;-2.42720677744555;2.71930614916303;3.43923745437293;8.83823249653298E-10
29/08/2003;4.82602722547103;-1.77300053270619;-2.82266205121297;3.28083411552997;1.13008813529991;1.15523139093166
30/09/2003;4.44315092586348;-1.07504859683369;0.979860059472863;1.45109272690765;2.23304261587793;27.9644914482392
31/10/2003;4.94258936987253;-1.49294759395943;0.949301397856872;2.12086533700392;3.21695133303679;1.69675571644849
28/11/2003;5.39451956198456;-1.84971132243498;-0.414158185040594;2.45244312541093;3.02132351664558;1.71242920303691
31/12/2003;5.07641204052809;-1.73808438547532;-3.15014024243401;3.6362584242391;1.22581354051204;1.11047349220253
30/01/2004;5.41864917588055;-1.55550866336418;-1.87430149806152;3.05527680841452;4.88373396631515;3.03020139340036
31/03/2004;6.55980154142801;-2.51999495236402;-1.57215464799666;1.48547633990232;10.7164448868868;2.17828680337363
30/04/2004;6.8146173560493;-2.6362506684101;-2.57763584536759;2.20198993256276;8.87283885582517;2.9132767007066
31/05/2004;6.95908626035543;-2.65774680739578;-3.30724879586101;3.11969520288131;6.68122633577302;2.09007491181388
30/06/2004;6.17513869085354;-1.58401159488813;-2.86628066720874;2.63662466082151;10.9803087169237;4.20372290110131
30/07/2004;6.39739299023857;-1.68089599945674;-3.19748950052721;2.39461137133573;12.9832865747059;3.93878478395264
31/08/2004;5.89200413665541;-1.218345992027;-2.431764646216;1.72107000236414;15.1265994099538;5.83503382826475
30/09/2004;5.69003980985527;-1.11824961506856;-2.45955047498687;1.91363135724025;13.824298682547;6.75057066897901
29/10/2004;5.78299454535123;-1.3267614564304;-2.50159671854923;1.79908915459089;13.5930107339274;6.4415075910384
30/11/2004;7.5962335377636;-3.30513004467627;-3.43374871714;0.87037130144492;15.4892643430851;3.20506632515357
31/12/2004;6.36053156555593;-2.08073265249018;-1.60178118177427;0.664881716009665;16.1504750201998;1.83483877006141
31/01/2005;5.69624378178271;-1.18045860678792;-1.88985316903021;0.879880728555917;16.9019667381276;9.06076443375412
28/02/2005;6.10604692118866;-1.52569788682784;-1.29803663137392;0.762752900012264;17.773649236227;1.41227461315621
30/06/2005;6.46927368140935;-2.60601818270889;-2.63776018615467;2.1019512206141;8.78644757962918;0.256014877705384
30/11/2005;5.39497678305819;-0.962147746414832;-1.99619818646402;-0.122204261628187;22.6519149963901;1.59434514112914
30/12/2005;5.17827183907034;-0.958977541480208;-2.08163363774399;0.337368839253962;19.4583545099164;3.18120055947161
28/02/2006;5.32889433164542;-1.02759339903926;-2.20179116957978;0.547098998613969;19.2409050239359;1.76272602389143
